Longitude,Latitude,hf,bankuai_avg_dist_top3,bankuai_avg_dist_top5,bankuai_closest1_dist,bankuai_closest2_dist,bankuai_closest3_dist,bankuai_closest4_dist,bankuai_closest5_dist,gou_avg_dist_top3,gou_avg_dist_top5,gou_closest1_dist,gou_closest2_dist,gou_closest3_dist,gou_closest4_dist,gou_closest5_dist,liegu_avg_dist_top3,liegu_avg_dist_top5,liegu_closest1_dist,liegu_closest2_dist,liegu_closest3_dist,liegu_closest4_dist,liegu_closest5_dist,ji_avg_dist_top3,ji_avg_dist_top5,ji_closest1_dist,ji_closest2_dist,ji_closest3_dist,ji_closest4_dist,ji_closest5_dist,huoshan_avg_dist_top3,huoshan_avg_dist_top5,huoshan_closest1_dist,huoshan_closest2_dist,huoshan_closest3_dist,huoshan_closest4_dist,huoshan_closest5_dist,duanceng_avg_dist_top3,duanceng_avg_dist_top5,duanceng_closest1_dist,duanceng_closest2_dist,duanceng_closest3_dist,duanceng_closest4_dist,duanceng_closest5_dist,bed,geoid,surface,climatic zones
-157.25,57.25,87,296.4,300.16,293.97,293.97,301.27,301.27,310.33,299.72,302.95,297.82,300.4,300.94,307.11,308.49,752.2,773.41,687.86,774.41,794.34,800,810.45,1818.19,1857.58,1813.11,1818.89,1822.56,1916.37,1916.97,25.68,44.58,20.22,25.98,30.84,69.18,76.68,3012.88,3016.38,3009.44,3012.79,3016.41,3019.57,3023.71,-4.8457804,14.375407,-4.8457804,15
-157.25,57.75,81,339.87,343.33,337.46,337.46,344.69,344.69,352.32,344.58,346.09,343.14,343.78,346.82,347.61,349.1,722.27,745.71,692.24,723.81,750.76,780.54,781.18,1828.61,1868.84,1824.37,1829.31,1832.16,1928.43,1929.92,54.83,63.2,44.25,52.33,67.9,70.13,81.38,3036.44,3039.92,3033.03,3036.35,3039.94,3043.09,3047.2,14.771669,14.830087,14.771669,26
-156.75,66.75,67,983.08,987.35,977.25,982.61,989.38,991.17,996.33,1013.03,1013.6,1012.35,1012.54,1014.2,1014.39,1014.52,353.89,378.69,334.01,352.67,374.98,400.3,431.51,2156.01,2156.68,2155.8,2156.11,2156.12,2156.35,2159,420.7,502.33,330.93,444.47,486.71,605.43,644.11,3557.32,3560.34,3554.46,3557.22,3560.28,3563.09,3566.67,404.72873,6.811968,404.72873,27
-156.75,70.75,87,1320.25,1330.11,1312.19,1319.11,1329.44,1336.7,1353.11,1384.61,1385.04,1384.03,1384.58,1385.23,1385.49,1385.88,121.65,144.9,105.17,116.2,143.58,174.1,185.46,2099.86,2100.62,2099.03,2100,2100.54,2100.8,2102.71,769.95,882.08,643.78,822.53,843.53,1030.89,1069.67,3854.27,3857.08,3851.66,3854.17,3857,3859.63,3862.97,8.923072,-0.82389545,8.923072,7
-156.25,58.75,74,387.9,392.76,384.12,384.12,395.46,395.46,404.65,402.17,404.06,400.26,402.26,404,404.56,409.22,689.09,719.64,655.3,688.28,723.69,761.18,769.77,1798.59,1840.57,1796.26,1799.26,1800.26,1901.77,1905.29,82,83.72,80.32,82.49,83.18,84.67,87.93,3034.86,3038.28,3031.52,3034.76,3038.29,3041.4,3045.45,49.979214,15.089819,49.979214,26
-156.25,70.75,64,1310.14,1320.03,1301.38,1308.97,1320.05,1325.48,1344.29,1375.62,1376.04,1375.1,1375.58,1376.16,1376.6,1376.76,118.97,137.8,104.48,123.05,129.37,158.55,173.53,2114.68,2115.4,2113.84,2114.73,2115.46,2115.68,2117.29,772.05,881.79,652.83,813.74,849.59,1027.03,1065.76,3841.18,3843.98,3838.58,3841.08,3843.89,3846.52,3849.85,6.416453,-0.94259906,6.416453,7
-155.75,57.75,71,285.03,287.28,284.79,284.79,285.53,285.53,295.76,293.02,295.09,292.71,292.88,293.48,296.88,299.51,780.83,807.53,765.31,780.78,796.39,829.82,865.34,1741.75,1782.29,1737.82,1742.44,1745,1842.17,1844.04,35.8,43.43,24.11,36.67,46.61,52.23,57.51,2956.79,2960.25,2953.4,2956.69,2960.27,2963.4,2967.5,256.11356,15.051382,256.11356,0
-155.75,68.25,46,1074.14,1083.98,1072.94,1073,1076.48,1095.42,1102.05,1126.74,1126.97,1126.48,1126.72,1127.01,1127.25,1127.4,191.95,223.58,165.66,190.43,219.75,252.03,290,2201.35,2201.54,2201.23,2201.28,2201.53,2201.68,2201.97,542.86,634.02,452.58,569.37,606.63,751.36,790.19,3634.96,3637.89,3632.22,3634.86,3637.81,3640.54,3644.02,584.67096,4.789301,584.67096,27
-155.75,70.25,77,1253.45,1263.38,1245.41,1252.26,1262.68,1270.04,1286.52,1317.96,1318.39,1317.4,1317.92,1318.55,1318.87,1319.19,136.28,143.98,119.84,142.76,146.26,149.69,161.34,2162.84,2163.67,2162.04,2163.18,2163.32,2163.67,2166.17,725.6,830.67,616.13,755.93,804.75,968.92,1007.62,3788.84,3791.66,3786.21,3788.73,3791.57,3794.21,3797.56,14.356308,-1.0367662,14.356308,7
-155.75,71.25,65,1347.87,1356.69,1337.09,1346.69,1359.82,1359.83,1380.02,1416.39,1416.81,1416.05,1416.35,1416.76,1417.21,1417.66,85.22,113.46,52.38,84.59,118.7,151.59,160.02,2096.98,2097.52,2096.09,2096.56,2098.29,2098.31,2098.37,824.54,933.82,709.98,855.64,908.01,1078.43,1117.06,3867.98,3870.75,3865.42,3867.88,3870.66,3873.26,3876.55,-59.875,-1.3276255,-59.875,7
-155.25,19.75,25,3492.79,3509.08,3489.46,3491.77,3497.14,3526.21,3540.8,3710.32,3713.42,3709.08,3709.97,3711.9,3715.25,3720.91,3652.34,3666.95,3646.14,3646.15,3664.73,3685.36,3692.38,3512.14,3530.44,3488.65,3516.13,3531.65,3546.22,3569.53,36.49,53.4,24.3,36.79,48.39,65.22,92.32,3700.29,3700.45,3700.24,3700.32,3700.32,3700.62,3700.78,1162.4104,22.970297,1162.4104,1
-155.25,59.75,70,448.4,449.98,447.56,447.56,450.08,450.08,454.64,464.08,465.5,461.67,464.07,466.51,467.51,467.74,642.04,701.32,602.43,641.44,682.26,724.57,855.89,1780.16,1823.73,1779.79,1779.89,1780.79,1886.3,1891.87,124.79,132.02,110.96,124.49,138.93,141.13,144.58,3041.36,3044.73,3038.1,3041.27,3044.73,3047.79,3051.77,371.67383,14.967021,371.67383,26
-154.75,69.75,62,1186.18,1196.19,1178.06,1184.93,1195.55,1202.76,1219.64,1250.99,1251.42,1250.47,1250.96,1251.56,1251.96,1252.16,92.02,127.54,55.81,91.43,128.84,166.83,194.81,2227.11,2228,2226.32,2227.39,2227.61,2227.83,2230.85,685.56,782.23,596.39,689.09,771.19,907.96,946.54,3722.58,3725.41,3719.94,3722.47,3725.32,3727.97,3731.33,47.72885,-0.23581338,47.72885,19
-154.75,70.75,76,1281.57,1290.45,1270.75,1280.44,1293.51,1293.81,1313.73,1350.55,1350.96,1350.24,1350.5,1350.89,1351.31,1351.87,98.27,120.91,83.88,94.74,116.2,146.8,162.93,2158.92,2159.54,2158.06,2158.7,2160.02,2160.1,2160.81,781.25,883.74,682.95,790.17,870.64,1018.22,1056.73,3802.78,3805.56,3800.21,3802.68,3805.46,3808.07,3811.37,0.8136447,-1.3884826,0.8136447,7
-154.25,60.25,87,469.79,470.08,469.45,469.45,470.48,470.48,470.54,467.68,468.12,466.8,467.86,468.4,468.71,468.83,646.79,709.22,603.79,646.35,690.21,735.13,870.64,1750.11,1794.53,1748.69,1750.72,1750.91,1857.78,1864.57,88.09,116.75,68.64,86.93,108.69,159.31,160.16,3024.59,3027.92,3021.38,3024.49,3027.91,3030.94,3034.87,668.8955,14.976047,668.8955,26
-154.25,70.25,71,1224.18,1233.42,1213.82,1222.92,1235.8,1237.03,1257.55,1292.35,1292.77,1292.02,1292.31,1292.72,1293.17,1293.63,109.79,122.06,88.19,106.94,134.23,139.29,141.65,2207.41,2208.13,2206.58,2207.46,2208.2,2208.42,2210,737.2,834.37,650.71,731.73,829.16,960.9,999.34,3749.57,3752.36,3746.98,3749.47,3752.27,3754.89,3758.21,7.099125,-0.78801703,7.099125,7
-153.75,70.75,64,1262.87,1271.99,1251.89,1263.04,1273.69,1277.99,1293.36,1335.5,1335.91,1335.35,1335.46,1335.7,1336,1337.06,88.76,110.48,83.88,87.65,94.74,139.31,146.8,2188.23,2188.78,2187.35,2187.83,2189.52,2189.53,2189.65,789.72,887.38,705.29,776.92,886.96,1014.71,1053,3777.93,3780.69,3775.38,3777.83,3780.59,3783.19,3786.47,-9.875,-1.6631751,-9.875,7
-153.25,68.75,44,1060.63,1070.79,1052.99,1059.27,1069.64,1078.25,1093.8,1125.11,1125.54,1124.6,1125.07,1125.66,1126.1,1126.26,93.65,137.15,83.98,88.53,108.45,137.19,267.59,2271.88,2283.69,2259.67,2272.31,2283.66,2301.21,2301.61,613.8,692.55,563.29,567.56,710.54,791.55,829.81,3601.49,3604.34,3598.83,3601.38,3604.25,3606.92,3610.31,363.1968,3.0517342,363.1968,19
-153.25,70.25,56,1205.38,1214.47,1194.43,1205.09,1216.62,1219.68,1236.55,1277.07,1277.48,1276.89,1277.02,1277.29,1277.6,1278.59,93.02,110.52,83.94,88.19,106.94,134.23,139.29,2236.94,2237.58,2236.09,2236.8,2237.94,2238.06,2239.03,747.36,839.3,675.96,718.32,847.79,958.12,996.32,3724.18,3726.95,3721.6,3724.07,3726.85,3729.46,3732.76,-0.7362611,-1.063486,-0.7362611,7
-153.25,70.75,73,1254.02,1263.26,1242.95,1254.85,1264.25,1270.61,1283.63,1328.5,1328.91,1328.42,1328.45,1328.63,1328.86,1330.18,88.76,109.49,83.88,87.65,94.74,139.31,141.85,2202.76,2203.34,2201.94,2202.34,2204.01,2204.18,2204.24,794.64,889.88,717.07,771.08,895.76,1013.66,1051.84,3765.74,3768.49,3763.2,3765.63,3768.39,3770.98,3774.24,-9.75,-1.8137941,-9.75,7
-152.75,59.25,57,331.54,331.77,331.4,331.4,331.84,331.84,332.39,330.81,331.57,330.18,331,331.26,332.51,332.88,782.78,838.96,740.85,782.35,825.13,868.99,977.48,1628.54,1672.16,1628.2,1628.26,1629.16,1734.74,1740.42,59.67,73.99,40.85,63.09,75.07,89.03,101.94,2892.73,2896.08,2889.49,2892.63,2896.07,2899.12,2903.08,-40.75,11.807045,-40.75,15
-152.75,61.75,71,471.17,476.21,471.17,471.17,471.17,483.77,483.77,479.22,479.53,478.8,479.39,479.46,479.73,480.25,630.55,693.09,582.22,630.43,679,727.85,845.93,1756.12,1802.39,1751.75,1756.68,1759.91,1866.91,1876.72,73.01,135.8,21.66,56.7,140.66,191.92,268.09,3057.32,3060.54,3054.24,3057.22,3060.51,3063.46,3067.27,1241.0104,15.0784025,1241.0104,27
-152.75,70.75,90,1245.5,1254.86,1234.36,1247.01,1255.14,1263.59,1274.22,1321.85,1322.26,1321.8,1321.85,1321.91,1322.08,1323.65,92,111.44,83.88,87.65,104.48,139.31,141.85,2216.72,2216.8,2216.49,2216.81,2216.86,2216.92,2216.94,800,891.58,729.24,765.77,904.98,1013.1,1044.8,3753.71,3756.44,3751.17,3753.6,3756.35,3758.92,3762.18,-10.125,-1.9536188,-10.125,7
-152.25,63.25,99,560.82,561.23,559.22,561.63,561.63,561.63,562.07,576.56,577.59,576.04,576.45,577.19,579.03,579.22,610.13,644.24,560.57,610.14,659.68,695.06,695.76,1827.97,1875.38,1821.26,1828.5,1834.15,1940.41,1952.58,201.66,254.81,179.22,208.82,216.94,308.53,360.56,3144.2,3147.32,3141.22,3144.09,3147.28,3150.16,3153.86,293.156,12.4628935,293.156,27
-152.25,69.25,49,1089.76,1098.81,1078.85,1088.55,1101.86,1102.43,1122.33,1159.61,1160.02,1159.4,1159.56,1159.86,1160.21,1161.09,42.07,79.97,29.47,40.44,56.3,73.96,199.69,2286.99,2306.56,2274.04,2287.4,2299.52,2335.64,2336.2,670.54,748.39,600.66,632.11,778.85,846.23,884.11,3615.56,3618.37,3612.95,3615.45,3618.27,3620.91,3624.24,156.93011,1.2812878,156.93011,19
-152.25,70.25,69,1187.58,1196.94,1176.45,1188.73,1197.56,1205.08,1216.87,1263.28,1263.68,1263.23,1263.27,1263.34,1263.52,1265.07,89.42,102.9,83.94,88.19,96.13,106.94,139.29,2266.32,2266.89,2265.44,2265.99,2267.53,2267.56,2267.92,759.37,844.44,702.73,707.23,868.16,957.42,986.67,3699.42,3702.18,3696.87,3699.32,3702.08,3704.67,3707.95,6.8116612,-1.4425853,6.8116612,7
-152.25,70.75,73,1237.33,1246.81,1226.1,1239.53,1246.36,1256.94,1265.14,1315.57,1315.9,1315.52,1315.55,1315.65,1315.66,1317.13,98.27,115.04,83.88,94.74,116.2,139.31,141.07,2229.39,2229.7,2229.32,2229.42,2229.43,2229.63,2230.69,805.79,893.48,741.76,761.02,914.6,1013.01,1036.99,3741.83,3744.56,3739.31,3741.72,3744.46,3747.03,3750.27,-13,-2.098866,-13,7
-151.75,70.25,83,1179.23,1188.72,1168.01,1181.13,1188.56,1198.36,1207.54,1256.96,1257.3,1256.91,1256.94,1257.04,1257.06,1258.54,89.42,99.94,83.94,88.19,96.13,106.94,124.5,2280.95,2281.48,2280.07,2280.53,2282.25,2282.27,2282.31,766.06,846.95,702.6,716.63,878.95,957.84,978.7,3687.3,3690.04,3684.76,3687.19,3689.94,3692.52,3695.79,7.6424417,-1.5168571,7.6424417,7
